"local","salary","department","tools","else_need","url"
"新北市中和區","月薪30,000~60,000元"," 不拘 ","C++、Python、Tableau、Google Data Studio、Power BI<U+200B>贊助提升專業能力"," 1.電機/資工/資管/機械/數學/統計/工工，具機器學習、深度學習或資料分析背景等相關系所
2.熟悉以下至少一種資料分析語言：SQL, Python, Java, R, Matlab, Scala, C/C++
3.熟悉商業智慧(BI)工具，如 Microsoft Power BI, Tableau等
4.至少1個從資料擷取、資料整理、資料分析到建立洞察或建模的實務經驗，
5.熟悉分類分群、推薦、迴歸預測等演算法理論基礎，並有實作經驗 
6.二年以上資料分析相關實務經驗
 ","https://www.104.com.tw/job/73p6x?jobsource=jolist_a_relevance"
"新北市五股區","月薪30,000~60,000元"," 統計學相關、應用數學相關、資訊工程相關 ","R、Tableau贊助提升專業能力"," 1.熟悉統計分析軟體(如:SAS、SPSS、python..etc)
2.熟悉資料庫應用
3.熟悉數據管理、可視化及產出報告 ","https://www.104.com.tw/job/6hv7d?jobsource=jolist_a_relevance"
"台北市中正區","月薪35,000元以上"," 地理學相關、經濟社會及心理學科類、商業及管理學科類 "," 不拘 "," 具備資料智慧化或圖表分析相關工作經驗相關工作經驗者佳。 ","https://www.104.com.tw/job/7acwo?jobsource=jolist_a_relevance"
"台北市松山區","月薪45,000元以上"," 商業及管理學科類、經濟社會及心理學科類、數學及電算機科學學科類 ","Excel、OneNote、Outlook、PowerPoint、Word、Xmind、Power BI<U+200B>贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/6v9xg?jobsource=jolist_a_relevance"
"台北市信義區","月薪70,000元以上"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/7atk0?jobsource=jolist_a_relevance"
"台北市中山區","月薪30,000~45,000元"," 不拘 "," 不拘 "," ◆ 獎金 / 禮品類
1. 專案分紅獎金制度
2. 結婚禮金
3. 喪葬慰問金
4. 年終獎金

◆ 保險類
1.勞保
2.健保

◆ 休閒類
1. 免費的零食吃到吐... (變胖別怪公司喔)
2. 員工旅遊
3. 運動休閒：按摩椅、桌球、棒球、拳擊、單槓、飛鏢、手足桌、軌道車 (重視您的生活）
4. 微波爐、烤箱、電鍋、烤麵包機
5. 上班聽音樂
6. 美國矽谷工作環境

◆ 請 / 休假制度
1. 週休二日
2. 國定假日（全部休！）
3. 特休

公司官網＞＞ 
http://www.marsman.tw

準備一顆熱情的心，加入我們的行列，進軍全球市場~
P.S 您是想要平平凡凡的過一生，,還是要跟我們一起改變全世界！ ","https://www.104.com.tw/job/6ue4d?jobsource=jolist_a_relevance"
"台北市中山區","月薪38,000~40,000元"," 統計學相關、食品科學相關、公共衛生相關 ","Python、R、SAS、SPSS贊助提升專業能力"," 1.良好之溝通能力、積極有責任感、抗壓性高。
2.具備資料探勘、機器學習演算法、大數據分析相關經驗尤佳，熟悉SQL並取得證書尤佳，並需提供相關證明文件。
3.熟悉任一項統計軟體R、Python、SAS、SPSS尤佳 ","https://www.104.com.tw/job/6f8rs?jobsource=jolist_a_relevance"
"台中市北區","月薪28,000~45,000元"," 數學及電算機科學學科類、資訊管理相關、工業工程相關 ","Android、C++、C++.Net、PowerBuilder、Python、R、MS SQL、PostgreSQL、SYSBASE、Node.js贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/3twcs?jobsource=jolist_a_relevance"
"台北市大安區","月薪35,000~45,000元"," 不拘 ","C#、MS SQL、Tableau贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/72kkc?jobsource=jolist_a_relevance"
"台北市大安區","月薪35,000~100,000元"," 資訊工程相關、資訊管理相關、統計學相關 ","Android、iOS、ASP.NET、C、C#、C++、MS SQL、HTML、jQuery、CSS贊助提升專業能力"," 1. 專精任一種程式語言 
2. 熟MS SQL佳 
3. 具備金融相關經驗者佳 ","https://www.104.com.tw/job/6uwns?jobsource=jolist_a_relevance"
