"local","salary","department","tools","else_need","url"
"台中市西屯區","月薪30,000~55,000元"," 不拘 ","PHP、MySQL、HTML、VBScript、CSS、Node.js、Google Analytics贊助提升專業能力"," - 須能配合公司制度，完成主管交辦事項。 
- 個性開朗，EQ高，溝通良好，穩定度高，抗壓性強 。 
- 團體互動佳，細心具責任感。 ","https://www.104.com.tw/job/6nfbk?jobsource=jolist_a_relevance"
"台中市西屯區","月薪35,000~45,000元"," 不拘 ","Linux、PHP、MySQL、HTML、JavaScript、jQuery、CSS贊助提升專業能力"," 1. 邏輯清晰，追求最佳自動化測試。
2. 具備團隊合作精神，團隊溝通共同協作能力。
3. 積極、主動解決問題的態度。
4. 樂於學習新的技術。

 ","https://www.104.com.tw/job/75i01?jobsource=jolist_a_relevance"
"台北市信義區","年薪700,000~2,100,000元"," 不拘 ","Linux、Java、Spring贊助提升專業能力"," 必備條件
1. 熟悉 Spring、MyBatis、Spring MVC 等主流 Framework
2. 熟悉 TCP/IP、HTTP、Socket 等網路協議
3. 熟悉 RDMBS，如 SQL Server、SQLite，有 Stored Procedure 設計、撰寫經驗佳
4. 個性積極、謹慎細心、學習能力強，有責任感，具備良好的溝通能力、思考邏輯和分析能力，可以獨立作業且具有團隊合作精神

加分項目
1. 熟悉各系統網路I/O模型，及Multi-Thread相關技術知識佳
2. 俱有分散式系統開發設計經驗
3. 熟悉 Message Queue，如：RedisMQ、Kafka
4. 熟悉 Cache，如：Redis、Memchached ","https://www.104.com.tw/job/6n47y?jobsource=jolist_a_relevance"
"台北市中山區","月薪55,000~80,000元"," 不拘 ","AWS、Node.js贊助提升專業能力"," 1.二年以上後端工程師經驗 
2.用過 AWS
3.需獨立作業 ","https://www.104.com.tw/job/781sy?jobsource=jolist_a_relevance"
"台北市信義區","月薪60,000~80,000元"," 資訊工程相關 "," 不拘 "," 1. 樂於溝通分享並重視團隊精神，能主動發現問題並尋求最佳解決方案。
2. 邏輯思考清晰，沉著冷靜，有良好的學習能力和強烈的進取心。
 ","https://www.104.com.tw/job/76m1y?jobsource=jolist_a_relevance"
"台北市中山區","月薪60,000~100,000元"," 電機電子工程相關、資訊工程相關、通信學類 ","Linux、Java、Python、Spring、MS SQL、AWS、Node.js贊助提升專業能力"," 獨立自主負責的工作態度
良好的溝通技能 ","https://www.104.com.tw/job/70ctw?jobsource=jolist_a_relevance"
"台北市信義區","月薪50,000~100,000元"," 資訊工程相關 ","Java、MySQL、JavaScript贊助提升專業能力"," 未填寫 ","https://www.104.com.tw/job/78vnl?jobsource=jolist_a_relevance"
"台北市信義區","年薪1,000,000~1,800,000元"," 不拘 ","Java贊助提升專業能力"," Requirements:
- Degree in CS or equivalent field
- 3+ years of professional experience in Java & Web development
- Proficient in Java application framework technology (eg. Spring, Jersey)
- Proficient in in various data structures and Java concurrency
- Good communication skill
- Willing to ask, willing to share
- Familiar with Restful API design and development
- Familiar with Spring Boot Fragment
- Excellent logic and programming intuition ","https://www.104.com.tw/job/6yrz5?jobsource=jolist_a_relevance"
"台北市大安區","月薪60,000~80,000元"," 不拘 "," 不拘 "," 未填寫 ","https://www.104.com.tw/job/7a5mi?jobsource=jolist_a_relevance"
"高雄市鼓山區","月薪40,000~60,000元"," 不拘 ","ASP.NET、C#、MS SQL、MySQL贊助提升專業能力"," 輕型機車、普通重型機車 ","https://www.104.com.tw/job/6zmyo?jobsource=jolist_a_relevance"
